Country,State,State lgd code,Year,Gender,Age group,Type of area,Worker Population Ratio (WPR)_avg,Worker Population Ratio (WPR)_max,Worker Population Ratio (WPR)_min,Worker Population Ratio (WPR)_sum,Worker Population Ratio (WPR)_count,Worker Population Ratio (WPR)_stddev,Worker Population Ratio (WPR)_LandAreaWeight,Worker Population Ratio (WPR)_TotalPopulationWeight,Worker Population Ratio (WPR)_NumberOfHouseholdsWeight,Worker Population Ratio (WPR)_TotalPopulationMaleWeight,Worker Population Ratio (WPR)_TotalPopulationFemaleWeight
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Female,15-59,Rural,37.8,37.8,37.8,37.8,1,,,37.8,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Female,15-59,Total,32.7,32.7,32.7,32.7,1,,,32.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Female,15-59,Urban,17.7,17.7,17.7,17.7,1,,,17.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Female,15 years and above,Rural,36.9,36.9,36.9,36.9,1,,,36.9,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Female,15 years and above,Total,31.6,31.6,31.6,31.6,1,,,31.6,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Female,15 years and above,Urban,15.8,15.8,15.8,15.8,1,,,15.8,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Female,all years,Rural,28.9,28.9,28.9,28.9,1,,,28.9,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Female,all years,Total,24.9,24.9,24.9,24.9,1,,,24.9,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Female,all years,Urban,12.7,12.7,12.7,12.7,1,,,12.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,15-29,Rural,44.4,44.4,44.4,44.4,1,,,44.4,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,15-29,Total,43.6,43.6,43.6,43.6,1,,,43.6,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,15-59,Rural,68.3,68.3,68.3,68.3,1,,,68.3,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,15-59,Total,68.7,68.7,68.7,68.7,1,,,68.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,15-59,Urban,69.5,69.5,69.5,69.5,1,,,69.5,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,15 years and above,Rural,65.6,65.6,65.6,65.6,1,,,65.6,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,15 years and above,Total,65.1,65.1,65.1,65.1,1,,,65.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,15 years and above,Urban,63.7,63.7,63.7,63.7,1,,,63.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,all years,Rural,49.1,49.1,49.1,49.1,1,,,49.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,all years,Total,49.3,49.3,49.3,49.3,1,,,49.3,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Male,all years,Urban,50.0,50.0,50.0,50.0,1,,,50.0,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,15-29,Rural,33.4,33.4,33.4,33.4,1,,33.4,33.4,33.4,33.4,33.4
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,15-29,Total,32.3,32.3,32.3,32.3,1,,32.3,32.3,32.3,32.3,32.3
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,15-29,Urban,28.7,28.7,28.7,28.7,1,,28.7,28.7,28.7,28.7,28.7
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,15-59,Rural,53.4,53.4,53.4,53.4,1,,53.4,53.4,53.4,53.4,53.4
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,15-59,Total,51.2,51.2,51.2,51.2,1,,51.2,51.2,51.2,51.2,51.2
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,15-59,Urban,44.7,44.7,44.7,44.7,1,,44.7,44.7,44.7,44.7,44.7
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,15 years and above,Rural,51.4,51.4,51.4,51.4,1,,51.4,51.4,51.4,51.4,51.4
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,15 years and above,Total,48.7,48.7,48.7,48.7,1,,48.7,48.7,48.7,48.7,48.7
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,15-29,Urban,47.0,47.0,47.0,47.0,1,,,47.0,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,15 years and above,Urban,40.7,40.7,40.7,40.7,1,,40.7,40.7,40.7,40.7,40.7
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,all years,Rural,39.3,39.3,39.3,39.3,1,,39.3,39.3,39.3,39.3,39.3
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,all years,Total,37.6,37.6,37.6,37.6,1,,37.6,37.6,37.6,37.6,37.6
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2021",Persons,all years,Urban,32.3,32.3,32.3,32.3,1,,32.3,32.3,32.3,32.3,32.3
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,15-29,Rural,31.3,31.3,31.3,31.3,1,,,31.3,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,15-29,Total,26.1,26.1,26.1,26.1,1,,,26.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,15-29,Urban,9.8,9.8,9.8,9.8,1,,,9.8,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,15-59,Rural,47.0,47.0,47.0,47.0,1,,,47.0,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,15-59,Total,39.2,39.2,39.2,39.2,1,,,39.2,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,15-59,Urban,16.4,16.4,16.4,16.4,1,,,16.4,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,15 years and above,Rural,44.1,44.1,44.1,44.1,1,,,44.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,15 years and above,Total,37.0,37.0,37.0,37.0,1,,,37.0,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,15 years and above,Urban,15.1,15.1,15.1,15.1,1,,,15.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,all years,Rural,33.8,33.8,33.8,33.8,1,,,33.8,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,all years,Total,28.2,28.2,28.2,28.2,1,,,28.2,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Female,all years,Urban,11.2,11.2,11.2,11.2,1,,,11.2,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,15-29,Rural,48.9,48.9,48.9,48.9,1,,,48.9,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,15-29,Total,48.3,48.3,48.3,48.3,1,,,48.3,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,15-59,Rural,75.8,75.8,75.8,75.8,1,,,75.8,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,15-59,Total,75.1,75.1,75.1,75.1,1,,,75.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,15-59,Urban,73.3,73.3,73.3,73.3,1,,,73.3,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,15 years and above,Rural,70.7,70.7,70.7,70.7,1,,,70.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,15 years and above,Total,70.1,70.1,70.1,70.1,1,,,70.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,15 years and above,Urban,68.6,68.6,68.6,68.6,1,,,68.6,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,all years,Rural,53.7,53.7,53.7,53.7,1,,,53.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,all years,Total,53.1,53.1,53.1,53.1,1,,,53.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Male,all years,Urban,51.6,51.6,51.6,51.6,1,,,51.6,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,15-29,Rural,40.0,40.0,40.0,40.0,1,,40.0,40.0,40.0,40.0,40.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,15-29,Total,37.5,37.5,37.5,37.5,1,,37.5,37.5,37.5,37.5,37.5
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,15-29,Urban,30.5,30.5,30.5,30.5,1,,30.5,30.5,30.5,30.5,30.5
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,15-59,Rural,61.2,61.2,61.2,61.2,1,,61.2,61.2,61.2,61.2,61.2
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,15-59,Total,57.2,57.2,57.2,57.2,1,,57.2,57.2,57.2,57.2,57.2
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,15-59,Urban,46.2,46.2,46.2,46.2,1,,46.2,46.2,46.2,46.2,46.2
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,15 years and above,Rural,57.1,57.1,57.1,57.1,1,,57.1,57.1,57.1,57.1,57.1
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,15 years and above,Total,53.5,53.5,53.5,53.5,1,,53.5,53.5,53.5,53.5,53.5
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,15-29,Urban,51.6,51.6,51.6,51.6,1,,,51.6,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,15 years and above,Urban,43.2,43.2,43.2,43.2,1,,43.2,43.2,43.2,43.2,43.2
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,all years,Rural,43.5,43.5,43.5,43.5,1,,43.5,43.5,43.5,43.5,43.5
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,all years,Total,40.6,40.6,40.6,40.6,1,,40.6,40.6,40.6,40.6,40.6
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2022",Persons,all years,Urban,32.3,32.3,32.3,32.3,1,,32.3,32.3,32.3,32.3,32.3
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,15-29,Rural,39.1,39.1,39.1,39.1,1,,,39.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,15-29,Total,32.4,32.4,32.4,32.4,1,,,32.4,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,15-29,Urban,14.3,14.3,14.3,14.3,1,,,14.3,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,15-59,Rural,53.6,53.6,53.6,53.6,1,,,53.6,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,15-59,Total,45.5,45.5,45.5,45.5,1,,,45.5,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,15-59,Urban,22.8,22.8,22.8,22.8,1,,,22.8,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,15 years and above,Rural,51.2,51.2,51.2,51.2,1,,,51.2,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,15 years and above,Total,43.7,43.7,43.7,43.7,1,,,43.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,15 years and above,Urban,21.2,21.2,21.2,21.2,1,,,21.2,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,all years,Rural,40.7,40.7,40.7,40.7,1,,,40.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,all years,Total,34.4,34.4,34.4,34.4,1,,,34.4,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Female,all years,Urban,16.2,16.2,16.2,16.2,1,,,16.2,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,15-29,Rural,57.9,57.9,57.9,57.9,1,,,57.9,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,15-29,Total,56.3,56.3,56.3,56.3,1,,,56.3,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,15-59,Rural,77.7,77.7,77.7,77.7,1,,,77.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,15-59,Total,77.8,77.8,77.8,77.8,1,,,77.8,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,15-59,Urban,78.1,78.1,78.1,78.1,1,,,78.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,15 years and above,Rural,73.2,73.2,73.2,73.2,1,,,73.2,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,15 years and above,Total,73.0,73.0,73.0,73.0,1,,,73.0,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,15 years and above,Urban,72.4,72.4,72.4,72.4,1,,,72.4,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,all years,Rural,53.9,53.9,53.9,53.9,1,,,53.9,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,all years,Total,53.8,53.8,53.8,53.8,1,,,53.8,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Male,all years,Urban,53.7,53.7,53.7,53.7,1,,,53.7,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,15-29,Rural,48.4,48.4,48.4,48.4,1,,48.4,48.4,48.4,48.4,48.4
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,15-29,Total,44.2,44.2,44.2,44.2,1,,44.2,44.2,44.2,44.2,44.2
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,15-29,Urban,32.4,32.4,32.4,32.4,1,,32.4,32.4,32.4,32.4,32.4
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,15-59,Rural,65.3,65.3,65.3,65.3,1,,65.3,65.3,65.3,65.3,65.3
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,15-59,Total,61.2,61.2,61.2,61.2,1,,61.2,61.2,61.2,61.2,61.2
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,15-59,Urban,50.1,50.1,50.1,50.1,1,,50.1,50.1,50.1,50.1,50.1
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,15 years and above,Rural,61.9,61.9,61.9,61.9,1,,61.9,61.9,61.9,61.9,61.9
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,15 years and above,Total,58.1,58.1,58.1,58.1,1,,58.1,58.1,58.1,58.1,58.1
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Male,15-29,Urban,53.1,53.1,53.1,53.1,1,,,53.1,,,
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,15 years and above,Urban,46.6,46.6,46.6,46.6,1,,46.6,46.6,46.6,46.6,46.6
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,all years,Rural,47.3,47.3,47.3,47.3,1,,47.3,47.3,47.3,47.3,47.3
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,all years,Total,44.2,44.2,44.2,44.2,1,,44.2,44.2,44.2,44.2,44.2
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2023",Persons,all years,Urban,35.1,35.1,35.1,35.1,1,,35.1,35.1,35.1,35.1,35.1
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,15-29,Rural,9.0,9.0,9.0,9.0,1,,,9.0,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,15-29,Total,8.4,8.4,8.4,8.4,1,,,8.4,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,15-29,Urban,7.3,7.3,7.3,7.3,1,,,7.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,15-59,Rural,14.8,14.8,14.8,14.8,1,,,14.8,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,15-59,Total,14.3,14.3,14.3,14.3,1,,,14.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,15-59,Urban,13.4,13.4,13.4,13.4,1,,,13.4,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,15 years and above,Rural,13.2,13.2,13.2,13.2,1,,,13.2,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,15 years and above,Total,12.8,12.8,12.8,12.8,1,,,12.8,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,15 years and above,Urban,12.1,12.1,12.1,12.1,1,,,12.1,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,all years,Rural,9.6,9.6,9.6,9.6,1,,,9.6,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,all years,Total,9.5,9.5,9.5,9.5,1,,,9.5,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Female,all years,Urban,9.3,9.3,9.3,9.3,1,,,9.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Male,15-29,Rural,46.9,46.9,46.9,46.9,1,,,46.9,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Male,15-29,Total,49.1,49.1,49.1,49.1,1,,,49.1,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Male,15-59,Urban,74.9,74.9,74.9,74.9,1,,,74.9,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Male,15 years and above,Rural,67.2,67.2,67.2,67.2,1,,,67.2,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Male,15 years and above,Total,68.3,68.3,68.3,68.3,1,,,68.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Male,15 years and above,Urban,70.3,70.3,70.3,70.3,1,,,70.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Male,all years,Rural,47.8,47.8,47.8,47.8,1,,,47.8,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Male,all years,Total,49.4,49.4,49.4,49.4,1,,,49.4,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Male,all years,Urban,52.3,52.3,52.3,52.3,1,,,52.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,15-29,Rural,29.8,29.8,29.8,29.8,1,,29.8,29.8,29.8,29.8,29.8
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,15-29,Total,30.6,30.6,30.6,30.6,1,,30.6,30.6,30.6,30.6,30.6
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,15-29,Urban,32.0,32.0,32.0,32.0,1,,32.0,32.0,32.0,32.0,32.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,15-59,Rural,44.7,44.7,44.7,44.7,1,,44.7,44.7,44.7,44.7,44.7
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,15-59,Total,45.1,45.1,45.1,45.1,1,,45.1,45.1,45.1,45.1,45.1
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,15-59,Urban,45.8,45.8,45.8,45.8,1,,45.8,45.8,45.8,45.8,45.8
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,15 years and above,Rural,41.3,41.3,41.3,41.3,1,,41.3,41.3,41.3,41.3,41.3
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,15 years and above,Total,41.7,41.7,41.7,41.7,1,,41.7,41.7,41.7,41.7,41.7
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,15 years and above,Urban,42.4,42.4,42.4,42.4,1,,42.4,42.4,42.4,42.4,42.4
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,all years,Rural,29.7,29.7,29.7,29.7,1,,29.7,29.7,29.7,29.7,29.7
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,all years,Total,30.5,30.5,30.5,30.5,1,,30.5,30.5,30.5,30.5,30.5
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Persons,all years,Urban,32.0,32.0,32.0,32.0,1,,32.0,32.0,32.0,32.0,32.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,15-29,Rural,6.3,6.3,6.3,6.3,1,,,6.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,15-29,Total,8.3,8.3,8.3,8.3,1,,,8.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,15-29,Urban,12.5,12.5,12.5,12.5,1,,,12.5,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,15-59,Rural,14.0,14.0,14.0,14.0,1,,,14.0,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,15-59,Total,15.7,15.7,15.7,15.7,1,,,15.7,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,15-59,Urban,19.1,19.1,19.1,19.1,1,,,19.1,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,15 years and above,Rural,12.8,12.8,12.8,12.8,1,,,12.8,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,15 years and above,Total,14.1,14.1,14.1,14.1,1,,,14.1,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,15 years and above,Urban,16.8,16.8,16.8,16.8,1,,,16.8,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,all years,Rural,9.4,9.4,9.4,9.4,1,,,9.4,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,all years,Total,10.6,10.6,10.6,10.6,1,,,10.6,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Female,all years,Urban,13.2,13.2,13.2,13.2,1,,,13.2,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,15-29,Rural,45.9,45.9,45.9,45.9,1,,,45.9,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,15-29,Total,47.1,47.1,47.1,47.1,1,,,47.1,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,15-29,Urban,49.5,49.5,49.5,49.5,1,,,49.5,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,15-59,Rural,71.4,71.4,71.4,71.4,1,,,71.4,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,15-59,Total,71.7,71.7,71.7,71.7,1,,,71.7,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,15-59,Urban,72.1,72.1,72.1,72.1,1,,,72.1,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,15 years and above,Rural,67.2,67.2,67.2,67.2,1,,,67.2,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,15 years and above,Total,67.3,67.3,67.3,67.3,1,,,67.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,15 years and above,Urban,67.5,67.5,67.5,67.5,1,,,67.5,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,all years,Rural,48.3,48.3,48.3,48.3,1,,,48.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,all years,Total,49.5,49.5,49.5,49.5,1,,,49.5,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Male,all years,Urban,51.9,51.9,51.9,51.9,1,,,51.9,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,15-29,Rural,28.4,28.4,28.4,28.4,1,,28.4,28.4,28.4,28.4,28.4
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,15-29,Total,30.1,30.1,30.1,30.1,1,,30.1,30.1,30.1,30.1,30.1
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,15-29,Urban,33.7,33.7,33.7,33.7,1,,33.7,33.7,33.7,33.7,33.7
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,15-59,Rural,44.3,44.3,44.3,44.3,1,,44.3,44.3,44.3,44.3,44.3
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,15-59,Total,45.5,45.5,45.5,45.5,1,,45.5,45.5,45.5,45.5,45.5
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,15-59,Urban,47.8,47.8,47.8,47.8,1,,47.8,47.8,47.8,47.8,47.8
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,15 years and above,Rural,41.0,41.0,41.0,41.0,1,,41.0,41.0,41.0,41.0,41.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,15 years and above,Total,41.9,41.9,41.9,41.9,1,,41.9,41.9,41.9,41.9,41.9
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,15 years and above,Urban,43.8,43.8,43.8,43.8,1,,43.8,43.8,43.8,43.8,43.8
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,all years,Rural,29.8,29.8,29.8,29.8,1,,29.8,29.8,29.8,29.8,29.8
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,all years,Total,31.1,31.1,31.1,31.1,1,,31.1,31.1,31.1,31.1,31.1
India,Haryana,6,"Agriculture Year (Jul - Jun), 2018",Persons,all years,Urban,34.0,34.0,34.0,34.0,1,,34.0,34.0,34.0,34.0,34.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,15-29,Rural,5.7,5.7,5.7,5.7,1,,,5.7,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,15-29,Total,8.1,8.1,8.1,8.1,1,,,8.1,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,15-29,Urban,13.4,13.4,13.4,13.4,1,,,13.4,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,15-59,Rural,14.4,14.4,14.4,14.4,1,,,14.4,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,15-59,Total,16.8,16.8,16.8,16.8,1,,,16.8,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,15-59,Urban,21.3,21.3,21.3,21.3,1,,,21.3,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,15 years and above,Rural,12.7,12.7,12.7,12.7,1,,,12.7,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,15 years and above,Total,14.7,14.7,14.7,14.7,1,,,14.7,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,15 years and above,Urban,18.5,18.5,18.5,18.5,1,,,18.5,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,all years,Rural,9.6,9.6,9.6,9.6,1,,,9.6,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,all years,Total,11.2,11.2,11.2,11.2,1,,,11.2,,,
India,Haryana,6,"Agriculture Year (Jul - Jun), 2019",Female,all years,Urban,14.1,14.1,14.1,14.1,1,,,14.1,,,
