Country,State,State lgd code,Year,Type of area,Gender,Status of employment,Percentage distribution of workers_avg,Percentage distribution of workers_max,Percentage distribution of workers_min,Percentage distribution of workers_sum,Percentage distribution of workers_count,Percentage distribution of workers_stddev,Percentage distribution of workers_LandAreaWeight,Percentage distribution of workers_TotalPopulationWeight,Percentage distribution of workers_NumberOfHouseholdsWeight,Percentage distribution of workers_TotalPopulationMaleWeight,Percentage distribution of workers_TotalPopulationFemaleWeight
India,Bihar,10,"Agriculture Year (Jul - Jun), 2023",Urban,Male,Casual labour,17.6,17.6,17.6,17.6,1,,17.6,17.6,17.6,17.6,17.6
India,Bihar,10,"Agriculture Year (Jul - Jun), 2023",Urban,Male,Regular wage/salary,29.1,29.1,29.1,29.1,1,,29.1,29.1,29.1,29.1,29.1
India,Bihar,10,"Agriculture Year (Jul - Jun), 2023",Urban,Male,Self-Employed helper in hoursehold enterprise,5.0,5.0,5.0,5.0,1,,5.0,5.0,5.0,5.0,5.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2023",Urban,Male,"Self-Employed own account worker, employer",48.2,48.2,48.2,48.2,1,,48.2,48.2,48.2,48.2,48.2
India,Bihar,10,"Agriculture Year (Jul - Jun), 2023",Urban,Persons,All self employed,54.6,54.6,54.6,54.6,1,,54.6,54.6,54.6,54.6,54.6
India,Bihar,10,"Agriculture Year (Jul - Jun), 2023",Urban,Persons,Casual labour,16.1,16.1,16.1,16.1,1,,16.1,16.1,16.1,16.1,16.1
India,Bihar,10,"Agriculture Year (Jul - Jun), 2023",Urban,Persons,Regular wage/salary,29.3,29.3,29.3,29.3,1,,29.3,29.3,29.3,29.3,29.3
India,Bihar,10,"Agriculture Year (Jul - Jun), 2023",Urban,Persons,Self-Employed helper in hoursehold enterprise,9.4,9.4,9.4,9.4,1,,9.4,9.4,9.4,9.4,9.4
India,Bihar,10,"Agriculture Year (Jul - Jun), 2023",Urban,Persons,"Self-Employed own account worker, employer",45.2,45.2,45.2,45.2,1,,45.2,45.2,45.2,45.2,45.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Female,All self employed,71.2,71.2,71.2,71.2,1,,71.2,71.2,71.2,71.2,71.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Casual labour,0.7,0.7,0.7,0.7,1,,0.7,0.7,0.7,0.7,0.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Regular wage/salary,28.0,28.0,28.0,28.0,1,,28.0,28.0,28.0,28.0,28.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Self-Employed helper in hoursehold enterprise,50.8,50.8,50.8,50.8,1,,50.8,50.8,50.8,50.8,50.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Female,"Self-Employed own account worker, employer",20.4,20.4,20.4,20.4,1,,20.4,20.4,20.4,20.4,20.4
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Male,All self employed,71.3,71.3,71.3,71.3,1,,71.3,71.3,71.3,71.3,71.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Casual labour,3.5,3.5,3.5,3.5,1,,3.5,3.5,3.5,3.5,3.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Regular wage/salary,25.1,25.1,25.1,25.1,1,,25.1,25.1,25.1,25.1,25.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Self-Employed helper in hoursehold enterprise,10.1,10.1,10.1,10.1,1,,10.1,10.1,10.1,10.1,10.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Male,"Self-Employed own account worker, employer",61.3,61.3,61.3,61.3,1,,61.3,61.3,61.3,61.3,61.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,All self employed,71.3,71.3,71.3,71.3,1,,71.3,71.3,71.3,71.3,71.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Casual labour,2.5,2.5,2.5,2.5,1,,2.5,2.5,2.5,2.5,2.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Regular wage/salary,26.2,26.2,26.2,26.2,1,,26.2,26.2,26.2,26.2,26.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Self-Employed helper in hoursehold enterprise,24.8,24.8,24.8,24.8,1,,24.8,24.8,24.8,24.8,24.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,"Self-Employed own account worker, employer",46.5,46.5,46.5,46.5,1,,46.5,46.5,46.5,46.5,46.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,All self employed,65.3,65.3,65.3,65.3,1,,65.3,65.3,65.3,65.3,65.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Casual labour,0.6,0.6,0.6,0.6,1,,0.6,0.6,0.6,0.6,0.6
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Regular wage/salary,34.1,34.1,34.1,34.1,1,,34.1,34.1,34.1,34.1,34.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,45.2,45.2,45.2,45.2,1,,45.2,45.2,45.2,45.2,45.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,"Self-Employed own account worker, employer",20.1,20.1,20.1,20.1,1,,20.1,20.1,20.1,20.1,20.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,All self employed,63.5,63.5,63.5,63.5,1,,63.5,63.5,63.5,63.5,63.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Casual labour,5.1,5.1,5.1,5.1,1,,5.1,5.1,5.1,5.1,5.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Regular wage/salary,31.4,31.4,31.4,31.4,1,,31.4,31.4,31.4,31.4,31.4
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,8.6,8.6,8.6,8.6,1,,8.6,8.6,8.6,8.6,8.6
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,"Self-Employed own account worker, employer",54.9,54.9,54.9,54.9,1,,54.9,54.9,54.9,54.9,54.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,All self employed,64.1,64.1,64.1,64.1,1,,64.1,64.1,64.1,64.1,64.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Casual labour,3.6,3.6,3.6,3.6,1,,3.6,3.6,3.6,3.6,3.6
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Regular wage/salary,32.3,32.3,32.3,32.3,1,,32.3,32.3,32.3,32.3,32.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,20.9,20.9,20.9,20.9,1,,20.9,20.9,20.9,20.9,20.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,"Self-Employed own account worker, employer",43.2,43.2,43.2,43.2,1,,43.2,43.2,43.2,43.2,43.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Female,All self employed,41.5,41.5,41.5,41.5,1,,41.5,41.5,41.5,41.5,41.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Casual labour,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Regular wage/salary,58.5,58.5,58.5,58.5,1,,58.5,58.5,58.5,58.5,58.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Self-Employed helper in hoursehold enterprise,22.7,22.7,22.7,22.7,1,,22.7,22.7,22.7,22.7,22.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Female,"Self-Employed own account worker, employer",18.8,18.8,18.8,18.8,1,,18.8,18.8,18.8,18.8,18.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Male,All self employed,44.2,44.2,44.2,44.2,1,,44.2,44.2,44.2,44.2,44.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Casual labour,8.9,8.9,8.9,8.9,1,,8.9,8.9,8.9,8.9,8.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Regular wage/salary,46.8,46.8,46.8,46.8,1,,46.8,46.8,46.8,46.8,46.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Self-Employed helper in hoursehold enterprise,5.2,5.2,5.2,5.2,1,,5.2,5.2,5.2,5.2,5.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Male,"Self-Employed own account worker, employer",39.1,39.1,39.1,39.1,1,,39.1,39.1,39.1,39.1,39.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,All self employed,43.5,43.5,43.5,43.5,1,,43.5,43.5,43.5,43.5,43.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Casual labour,6.6,6.6,6.6,6.6,1,,6.6,6.6,6.6,6.6,6.6
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Regular wage/salary,49.8,49.8,49.8,49.8,1,,49.8,49.8,49.8,49.8,49.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Self-Employed helper in hoursehold enterprise,9.7,9.7,9.7,9.7,1,,9.7,9.7,9.7,9.7,9.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,"Self-Employed own account worker, employer",33.8,33.8,33.8,33.8,1,,33.8,33.8,33.8,33.8,33.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Female,All self employed,77.5,77.5,77.5,77.5,1,,77.5,77.5,77.5,77.5,77.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Casual labour,3.0,3.0,3.0,3.0,1,,3.0,3.0,3.0,3.0,3.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Regular wage/salary,19.4,19.4,19.4,19.4,1,,19.4,19.4,19.4,19.4,19.4
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Self-Employed helper in hoursehold enterprise,46.8,46.8,46.8,46.8,1,,46.8,46.8,46.8,46.8,46.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Female,"Self-Employed own account worker, employer",30.7,30.7,30.7,30.7,1,,30.7,30.7,30.7,30.7,30.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Male,All self employed,64.9,64.9,64.9,64.9,1,,64.9,64.9,64.9,64.9,64.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Casual labour,6.5,6.5,6.5,6.5,1,,6.5,6.5,6.5,6.5,6.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Regular wage/salary,28.7,28.7,28.7,28.7,1,,28.7,28.7,28.7,28.7,28.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Self-Employed helper in hoursehold enterprise,7.4,7.4,7.4,7.4,1,,7.4,7.4,7.4,7.4,7.4
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Male,"Self-Employed own account worker, employer",57.4,57.4,57.4,57.4,1,,57.4,57.4,57.4,57.4,57.4
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,All self employed,70.0,70.0,70.0,70.0,1,,70.0,70.0,70.0,70.0,70.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Casual labour,5.1,5.1,5.1,5.1,1,,5.1,5.1,5.1,5.1,5.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Regular wage/salary,25.0,25.0,25.0,25.0,1,,25.0,25.0,25.0,25.0,25.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Self-Employed helper in hoursehold enterprise,23.3,23.3,23.3,23.3,1,,23.3,23.3,23.3,23.3,23.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,"Self-Employed own account worker, employer",46.7,46.7,46.7,46.7,1,,46.7,46.7,46.7,46.7,46.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,All self employed,70.8,70.8,70.8,70.8,1,,70.8,70.8,70.8,70.8,70.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Casual labour,2.8,2.8,2.8,2.8,1,,2.8,2.8,2.8,2.8,2.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Regular wage/salary,26.3,26.3,26.3,26.3,1,,26.3,26.3,26.3,26.3,26.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,41.2,41.2,41.2,41.2,1,,41.2,41.2,41.2,41.2,41.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,"Self-Employed own account worker, employer",29.7,29.7,29.7,29.7,1,,29.7,29.7,29.7,29.7,29.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,All self employed,57.7,57.7,57.7,57.7,1,,57.7,57.7,57.7,57.7,57.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Casual labour,6.5,6.5,6.5,6.5,1,,6.5,6.5,6.5,6.5,6.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Regular wage/salary,35.9,35.9,35.9,35.9,1,,35.9,35.9,35.9,35.9,35.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,6.3,6.3,6.3,6.3,1,,6.3,6.3,6.3,6.3,6.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,"Self-Employed own account worker, employer",51.3,51.3,51.3,51.3,1,,51.3,51.3,51.3,51.3,51.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,All self employed,62.5,62.5,62.5,62.5,1,,62.5,62.5,62.5,62.5,62.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Casual labour,5.1,5.1,5.1,5.1,1,,5.1,5.1,5.1,5.1,5.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Regular wage/salary,32.4,32.4,32.4,32.4,1,,32.4,32.4,32.4,32.4,32.4
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,19.2,19.2,19.2,19.2,1,,19.2,19.2,19.2,19.2,19.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,"Self-Employed own account worker, employer",43.3,43.3,43.3,43.3,1,,43.3,43.3,43.3,43.3,43.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Female,All self employed,39.7,39.7,39.7,39.7,1,,39.7,39.7,39.7,39.7,39.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Casual labour,1.7,1.7,1.7,1.7,1,,1.7,1.7,1.7,1.7,1.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Regular wage/salary,58.6,58.6,58.6,58.6,1,,58.6,58.6,58.6,58.6,58.6
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Self-Employed helper in hoursehold enterprise,14.9,14.9,14.9,14.9,1,,14.9,14.9,14.9,14.9,14.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Female,"Self-Employed own account worker, employer",24.9,24.9,24.9,24.9,1,,24.9,24.9,24.9,24.9,24.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Male,All self employed,39.4,39.4,39.4,39.4,1,,39.4,39.4,39.4,39.4,39.4
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Casual labour,6.5,6.5,6.5,6.5,1,,6.5,6.5,6.5,6.5,6.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Regular wage/salary,54.0,54.0,54.0,54.0,1,,54.0,54.0,54.0,54.0,54.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Self-Employed helper in hoursehold enterprise,3.5,3.5,3.5,3.5,1,,3.5,3.5,3.5,3.5,3.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Male,"Self-Employed own account worker, employer",36.0,36.0,36.0,36.0,1,,36.0,36.0,36.0,36.0,36.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,All self employed,39.5,39.5,39.5,39.5,1,,39.5,39.5,39.5,39.5,39.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Casual labour,5.2,5.2,5.2,5.2,1,,5.2,5.2,5.2,5.2,5.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Regular wage/salary,55.2,55.2,55.2,55.2,1,,55.2,55.2,55.2,55.2,55.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Self-Employed helper in hoursehold enterprise,6.5,6.5,6.5,6.5,1,,6.5,6.5,6.5,6.5,6.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,"Self-Employed own account worker, employer",33.0,33.0,33.0,33.0,1,,33.0,33.0,33.0,33.0,33.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Female,All self employed,67.0,67.0,67.0,67.0,1,,67.0,67.0,67.0,67.0,67.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Casual labour,3.9,3.9,3.9,3.9,1,,3.9,3.9,3.9,3.9,3.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Regular wage/salary,29.1,29.1,29.1,29.1,1,,29.1,29.1,29.1,29.1,29.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Self-Employed helper in hoursehold enterprise,41.6,41.6,41.6,41.6,1,,41.6,41.6,41.6,41.6,41.6
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Female,"Self-Employed own account worker, employer",25.4,25.4,25.4,25.4,1,,25.4,25.4,25.4,25.4,25.4
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Male,All self employed,53.2,53.2,53.2,53.2,1,,53.2,53.2,53.2,53.2,53.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Casual labour,14.1,14.1,14.1,14.1,1,,14.1,14.1,14.1,14.1,14.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Regular wage/salary,32.7,32.7,32.7,32.7,1,,32.7,32.7,32.7,32.7,32.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Self-Employed helper in hoursehold enterprise,9.5,9.5,9.5,9.5,1,,9.5,9.5,9.5,9.5,9.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Male,"Self-Employed own account worker, employer",43.7,43.7,43.7,43.7,1,,43.7,43.7,43.7,43.7,43.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,All self employed,59.0,59.0,59.0,59.0,1,,59.0,59.0,59.0,59.0,59.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Casual labour,9.8,9.8,9.8,9.8,1,,9.8,9.8,9.8,9.8,9.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Regular wage/salary,31.2,31.2,31.2,31.2,1,,31.2,31.2,31.2,31.2,31.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Self-Employed helper in hoursehold enterprise,22.9,22.9,22.9,22.9,1,,22.9,22.9,22.9,22.9,22.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,"Self-Employed own account worker, employer",36.1,36.1,36.1,36.1,1,,36.1,36.1,36.1,36.1,36.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,All self employed,60.1,60.1,60.1,60.1,1,,60.1,60.1,60.1,60.1,60.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Casual labour,4.3,4.3,4.3,4.3,1,,4.3,4.3,4.3,4.3,4.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Regular wage/salary,35.6,35.6,35.6,35.6,1,,35.6,35.6,35.6,35.6,35.6
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,37.1,37.1,37.1,37.1,1,,37.1,37.1,37.1,37.1,37.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,"Self-Employed own account worker, employer",23.0,23.0,23.0,23.0,1,,23.0,23.0,23.0,23.0,23.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,All self employed,48.0,48.0,48.0,48.0,1,,48.0,48.0,48.0,48.0,48.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Casual labour,14.0,14.0,14.0,14.0,1,,14.0,14.0,14.0,14.0,14.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Regular wage/salary,38.0,38.0,38.0,38.0,1,,38.0,38.0,38.0,38.0,38.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,7.5,7.5,7.5,7.5,1,,7.5,7.5,7.5,7.5,7.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,"Self-Employed own account worker, employer",40.5,40.5,40.5,40.5,1,,40.5,40.5,40.5,40.5,40.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,All self employed,52.8,52.8,52.8,52.8,1,,52.8,52.8,52.8,52.8,52.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Casual labour,10.2,10.2,10.2,10.2,1,,10.2,10.2,10.2,10.2,10.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Regular wage/salary,37.1,37.1,37.1,37.1,1,,37.1,37.1,37.1,37.1,37.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,19.2,19.2,19.2,19.2,1,,19.2,19.2,19.2,19.2,19.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,"Self-Employed own account worker, employer",33.6,33.6,33.6,33.6,1,,33.6,33.6,33.6,33.6,33.6
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Female,All self employed,27.8,27.8,27.8,27.8,1,,27.8,27.8,27.8,27.8,27.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Casual labour,6.1,6.1,6.1,6.1,1,,6.1,6.1,6.1,6.1,6.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Regular wage/salary,66.1,66.1,66.1,66.1,1,,66.1,66.1,66.1,66.1,66.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Self-Employed helper in hoursehold enterprise,16.1,16.1,16.1,16.1,1,,16.1,16.1,16.1,16.1,16.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Female,"Self-Employed own account worker, employer",11.7,11.7,11.7,11.7,1,,11.7,11.7,11.7,11.7,11.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Male,All self employed,32.7,32.7,32.7,32.7,1,,32.7,32.7,32.7,32.7,32.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Casual labour,13.6,13.6,13.6,13.6,1,,13.6,13.6,13.6,13.6,13.6
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Regular wage/salary,53.7,53.7,53.7,53.7,1,,53.7,53.7,53.7,53.7,53.7
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Self-Employed helper in hoursehold enterprise,1.9,1.9,1.9,1.9,1,,1.9,1.9,1.9,1.9,1.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Male,"Self-Employed own account worker, employer",30.8,30.8,30.8,30.8,1,,30.8,30.8,30.8,30.8,30.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,All self employed,31.2,31.2,31.2,31.2,1,,31.2,31.2,31.2,31.2,31.2
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Casual labour,11.3,11.3,11.3,11.3,1,,11.3,11.3,11.3,11.3,11.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Regular wage/salary,57.5,57.5,57.5,57.5,1,,57.5,57.5,57.5,57.5,57.5
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Self-Employed helper in hoursehold enterprise,6.3,6.3,6.3,6.3,1,,6.3,6.3,6.3,6.3,6.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,"Self-Employed own account worker, employer",24.9,24.9,24.9,24.9,1,,24.9,24.9,24.9,24.9,24.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2020",Rural,Female,All self employed,73.8,73.8,73.8,73.8,1,,73.8,73.8,73.8,73.8,73.8
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Casual labour,1.3,1.3,1.3,1.3,1,,1.3,1.3,1.3,1.3,1.3
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Regular wage/salary,24.9,24.9,24.9,24.9,1,,24.9,24.9,24.9,24.9,24.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Self-Employed helper in hoursehold enterprise,34.9,34.9,34.9,34.9,1,,34.9,34.9,34.9,34.9,34.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2020",Rural,Female,"Self-Employed own account worker, employer",38.9,38.9,38.9,38.9,1,,38.9,38.9,38.9,38.9,38.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2020",Rural,Male,All self employed,59.0,59.0,59.0,59.0,1,,59.0,59.0,59.0,59.0,59.0
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Casual labour,9.9,9.9,9.9,9.9,1,,9.9,9.9,9.9,9.9,9.9
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Regular wage/salary,31.1,31.1,31.1,31.1,1,,31.1,31.1,31.1,31.1,31.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Self-Employed helper in hoursehold enterprise,11.1,11.1,11.1,11.1,1,,11.1,11.1,11.1,11.1,11.1
India,Sikkim,11,"Agriculture Year (Jul - Jun), 2020",Rural,Male,"Self-Employed own account worker, employer",47.8,47.8,47.8,47.8,1,,47.8,47.8,47.8,47.8,47.8
