Country,Year,Type of industry of work,Type of area,Gender,Status of employment,Percentage distribution of workers_avg,Percentage distribution of workers_max,Percentage distribution of workers_min,Percentage distribution of workers_sum,Percentage distribution of workers_count,Percentage distribution of workers_stddev,Percentage distribution of workers_LandAreaWeight,Percentage distribution of workers_TotalPopulationWeight,Percentage distribution of workers_NumberOfHouseholdsWeight,Percentage distribution of workers_TotalPopulationMaleWeight,Percentage distribution of workers_TotalPopulationFemaleWeight
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Female,Casual labour,20.7,20.7,20.7,20.7,1,,20.7,20.7,20.7,20.7,20.7
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Female,Regular wage/salary,25.4,25.4,25.4,25.4,1,,25.4,25.4,25.4,25.4,25.4
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Female,Self-Employed helper in hoursehold enterprise,10.3,10.3,10.3,10.3,1,,10.3,10.3,10.3,10.3,10.3
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Female,"Self-Employed own account worker, employer",43.6,43.6,43.6,43.6,1,,43.6,43.6,43.6,43.6,43.6
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Male,All self employed,26.6,26.6,26.6,26.6,1,,26.6,26.6,26.6,26.6,26.6
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Male,Casual labour,29.0,29.0,29.0,29.0,1,,29.0,29.0,29.0,29.0,29.0
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Male,Regular wage/salary,44.4,44.4,44.4,44.4,1,,44.4,44.4,44.4,44.4,44.4
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Male,Self-Employed helper in hoursehold enterprise,3.3,3.3,3.3,3.3,1,,3.3,3.3,3.3,3.3,3.3
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Male,"Self-Employed own account worker, employer",23.3,23.3,23.3,23.3,1,,23.3,23.3,23.3,23.3,23.3
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Persons,All self employed,31.4,31.4,31.4,31.4,1,,31.4,31.4,31.4,31.4,31.4
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Persons,Casual labour,27.6,27.6,27.6,27.6,1,,27.6,27.6,27.6,27.6,27.6
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Persons,Regular wage/salary,41.0,41.0,41.0,41.0,1,,41.0,41.0,41.0,41.0,41.0
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Persons,Self-Employed helper in hoursehold enterprise,4.6,4.6,4.6,4.6,1,,4.6,4.6,4.6,4.6,4.6
India,"Agriculture Year (Jul - Jun), 2018",05-43 (secondary),Urban,Persons,"Self-Employed own account worker, employer",26.9,26.9,26.9,26.9,1,,26.9,26.9,26.9,26.9,26.9
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Female,Casual labour,9.4,9.4,9.4,9.4,1,,9.4,9.4,9.4,9.4,9.4
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Female,Regular wage/salary,13.6,13.6,13.6,13.6,1,,13.6,13.6,13.6,13.6,13.6
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Female,Self-Employed helper in hoursehold enterprise,11.2,11.2,11.2,11.2,1,,11.2,11.2,11.2,11.2,11.2
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Female,"Self-Employed own account worker, employer",65.8,65.8,65.8,65.8,1,,65.8,65.8,65.8,65.8,65.8
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Male,All self employed,36.4,36.4,36.4,36.4,1,,36.4,36.4,36.4,36.4,36.4
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Male,Casual labour,20.4,20.4,20.4,20.4,1,,20.4,20.4,20.4,20.4,20.4
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Male,Regular wage/salary,43.2,43.2,43.2,43.2,1,,43.2,43.2,43.2,43.2,43.2
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Male,Self-Employed helper in hoursehold enterprise,3.4,3.4,3.4,3.4,1,,3.4,3.4,3.4,3.4,3.4
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Male,"Self-Employed own account worker, employer",33.0,33.0,33.0,33.0,1,,33.0,33.0,33.0,33.0,33.0
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Persons,All self employed,48.6,48.6,48.6,48.6,1,,48.6,48.6,48.6,48.6,48.6
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Persons,Casual labour,17.1,17.1,17.1,17.1,1,,17.1,17.1,17.1,17.1,17.1
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Persons,Regular wage/salary,34.3,34.3,34.3,34.3,1,,34.3,34.3,34.3,34.3,34.3
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Persons,Self-Employed helper in hoursehold enterprise,5.7,5.7,5.7,5.7,1,,5.7,5.7,5.7,5.7,5.7
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural,Persons,"Self-Employed own account worker, employer",42.9,42.9,42.9,42.9,1,,42.9,42.9,42.9,42.9,42.9
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Female,All self employed,70.5,70.5,70.5,70.5,1,,70.5,70.5,70.5,70.5,70.5
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Female,Casual labour,9.5,9.5,9.5,9.5,1,,9.5,9.5,9.5,9.5,9.5
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Female,Regular wage/salary,20.0,20.0,20.0,20.0,1,,20.0,20.0,20.0,20.0,20.0
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,11.5,11.5,11.5,11.5,1,,11.5,11.5,11.5,11.5,11.5
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Female,"Self-Employed own account worker, employer",58.9,58.9,58.9,58.9,1,,58.9,58.9,58.9,58.9,58.9
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Male,All self employed,33.4,33.4,33.4,33.4,1,,33.4,33.4,33.4,33.4,33.4
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Male,Casual labour,14.8,14.8,14.8,14.8,1,,14.8,14.8,14.8,14.8,14.8
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Male,Regular wage/salary,51.8,51.8,51.8,51.8,1,,51.8,51.8,51.8,51.8,51.8
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,4.0,4.0,4.0,4.0,1,,4.0,4.0,4.0,4.0,4.0
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Male,"Self-Employed own account worker, employer",29.4,29.4,29.4,29.4,1,,29.4,29.4,29.4,29.4,29.4
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Persons,All self employed,43.0,43.0,43.0,43.0,1,,43.0,43.0,43.0,43.0,43.0
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Persons,Casual labour,13.4,13.4,13.4,13.4,1,,13.4,13.4,13.4,13.4,13.4
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Persons,Regular wage/salary,43.6,43.6,43.6,43.6,1,,43.6,43.6,43.6,43.6,43.6
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,6.0,6.0,6.0,6.0,1,,6.0,6.0,6.0,6.0,6.0
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Rural+Urban,Persons,"Self-Employed own account worker, employer",37.0,37.0,37.0,37.0,1,,37.0,37.0,37.0,37.0,37.0
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Female,All self employed,63.2,63.2,63.2,63.2,1,,63.2,63.2,63.2,63.2,63.2
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Female,Casual labour,9.7,9.7,9.7,9.7,1,,9.7,9.7,9.7,9.7,9.7
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Female,Regular wage/salary,27.1,27.1,27.1,27.1,1,,27.1,27.1,27.1,27.1,27.1
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Female,Self-Employed helper in hoursehold enterprise,11.9,11.9,11.9,11.9,1,,11.9,11.9,11.9,11.9,11.9
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Female,"Self-Employed own account worker, employer",51.3,51.3,51.3,51.3,1,,51.3,51.3,51.3,51.3,51.3
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Male,All self employed,31.1,31.1,31.1,31.1,1,,31.1,31.1,31.1,31.1,31.1
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Male,Casual labour,10.5,10.5,10.5,10.5,1,,10.5,10.5,10.5,10.5,10.5
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Male,Regular wage/salary,58.4,58.4,58.4,58.4,1,,58.4,58.4,58.4,58.4,58.4
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Male,Self-Employed helper in hoursehold enterprise,4.5,4.5,4.5,4.5,1,,4.5,4.5,4.5,4.5,4.5
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Male,"Self-Employed own account worker, employer",26.6,26.6,26.6,26.6,1,,26.6,26.6,26.6,26.6,26.6
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Persons,All self employed,38.4,38.4,38.4,38.4,1,,38.4,38.4,38.4,38.4,38.4
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Persons,Casual labour,10.3,10.3,10.3,10.3,1,,10.3,10.3,10.3,10.3,10.3
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Persons,Regular wage/salary,51.3,51.3,51.3,51.3,1,,51.3,51.3,51.3,51.3,51.3
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Persons,Self-Employed helper in hoursehold enterprise,6.2,6.2,6.2,6.2,1,,6.2,6.2,6.2,6.2,6.2
India,"Agriculture Year (Jul - Jun), 2018",10-33 (manufacturing),Urban,Persons,"Self-Employed own account worker, employer",32.2,32.2,32.2,32.2,1,,32.2,32.2,32.2,32.2,32.2
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Female,All self employed,13.5,13.5,13.5,13.5,1,,13.5,13.5,13.5,13.5,13.5
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Female,Casual labour,6.6,6.6,6.6,6.6,1,,6.6,6.6,6.6,6.6,6.6
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Female,Regular wage/salary,79.9,79.9,79.9,79.9,1,,79.9,79.9,79.9,79.9,79.9
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Female,Self-Employed helper in hoursehold enterprise,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Female,"Self-Employed own account worker, employer",13.5,13.5,13.5,13.5,1,,13.5,13.5,13.5,13.5,13.5
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Male,All self employed,14.8,14.8,14.8,14.8,1,,14.8,14.8,14.8,14.8,14.8
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Male,Casual labour,5.1,5.1,5.1,5.1,1,,5.1,5.1,5.1,5.1,5.1
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Male,Regular wage/salary,80.2,80.2,80.2,80.2,1,,80.2,80.2,80.2,80.2,80.2
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Male,Self-Employed helper in hoursehold enterprise,2.3,2.3,2.3,2.3,1,,2.3,2.3,2.3,2.3,2.3
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Male,"Self-Employed own account worker, employer",12.4,12.4,12.4,12.4,1,,12.4,12.4,12.4,12.4,12.4
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Persons,All self employed,14.6,14.6,14.6,14.6,1,,14.6,14.6,14.6,14.6,14.6
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Persons,Casual labour,5.2,5.2,5.2,5.2,1,,5.2,5.2,5.2,5.2,5.2
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Persons,Regular wage/salary,80.1,80.1,80.1,80.1,1,,80.1,80.1,80.1,80.1,80.1
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Persons,Self-Employed helper in hoursehold enterprise,2.1,2.1,2.1,2.1,1,,2.1,2.1,2.1,2.1,2.1
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural,Persons,"Self-Employed own account worker, employer",12.5,12.5,12.5,12.5,1,,12.5,12.5,12.5,12.5,12.5
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Female,All self employed,23.5,23.5,23.5,23.5,1,,23.5,23.5,23.5,23.5,23.5
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Female,Casual labour,3.2,3.2,3.2,3.2,1,,3.2,3.2,3.2,3.2,3.2
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Female,Regular wage/salary,73.4,73.4,73.4,73.4,1,,73.4,73.4,73.4,73.4,73.4
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,4.1,4.1,4.1,4.1,1,,4.1,4.1,4.1,4.1,4.1
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Female,"Self-Employed own account worker, employer",19.4,19.4,19.4,19.4,1,,19.4,19.4,19.4,19.4,19.4
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Male,All self employed,19.5,19.5,19.5,19.5,1,,19.5,19.5,19.5,19.5,19.5
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Male,Casual labour,3.8,3.8,3.8,3.8,1,,3.8,3.8,3.8,3.8,3.8
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Male,Regular wage/salary,76.7,76.7,76.7,76.7,1,,76.7,76.7,76.7,76.7,76.7
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,2.8,2.8,2.8,2.8,1,,2.8,2.8,2.8,2.8,2.8
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Male,"Self-Employed own account worker, employer",16.7,16.7,16.7,16.7,1,,16.7,16.7,16.7,16.7,16.7
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Persons,All self employed,19.9,19.9,19.9,19.9,1,,19.9,19.9,19.9,19.9,19.9
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Persons,Casual labour,3.7,3.7,3.7,3.7,1,,3.7,3.7,3.7,3.7,3.7
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Persons,Regular wage/salary,76.3,76.3,76.3,76.3,1,,76.3,76.3,76.3,76.3,76.3
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,2.9,2.9,2.9,2.9,1,,2.9,2.9,2.9,2.9,2.9
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Rural+Urban,Persons,"Self-Employed own account worker, employer",17.0,17.0,17.0,17.0,1,,17.0,17.0,17.0,17.0,17.0
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Female,All self employed,31.8,31.8,31.8,31.8,1,,31.8,31.8,31.8,31.8,31.8
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Female,Casual labour,0.3,0.3,0.3,0.3,1,,0.3,0.3,0.3,0.3,0.3
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Female,Regular wage/salary,67.9,67.9,67.9,67.9,1,,67.9,67.9,67.9,67.9,67.9
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Female,Self-Employed helper in hoursehold enterprise,7.5,7.5,7.5,7.5,1,,7.5,7.5,7.5,7.5,7.5
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Female,"Self-Employed own account worker, employer",24.3,24.3,24.3,24.3,1,,24.3,24.3,24.3,24.3,24.3
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Male,All self employed,23.1,23.1,23.1,23.1,1,,23.1,23.1,23.1,23.1,23.1
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Male,Casual labour,2.9,2.9,2.9,2.9,1,,2.9,2.9,2.9,2.9,2.9
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Male,Regular wage/salary,74.0,74.0,74.0,74.0,1,,74.0,74.0,74.0,74.0,74.0
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Male,Self-Employed helper in hoursehold enterprise,3.2,3.2,3.2,3.2,1,,3.2,3.2,3.2,3.2,3.2
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Male,"Self-Employed own account worker, employer",19.9,19.9,19.9,19.9,1,,19.9,19.9,19.9,19.9,19.9
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Persons,All self employed,24.0,24.0,24.0,24.0,1,,24.0,24.0,24.0,24.0,24.0
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Persons,Casual labour,2.6,2.6,2.6,2.6,1,,2.6,2.6,2.6,2.6,2.6
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Persons,Regular wage/salary,73.4,73.4,73.4,73.4,1,,73.4,73.4,73.4,73.4,73.4
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Persons,Self-Employed helper in hoursehold enterprise,3.6,3.6,3.6,3.6,1,,3.6,3.6,3.6,3.6,3.6
India,"Agriculture Year (Jul - Jun), 2018",35-39 (electricity and water supply),Urban,Persons,"Self-Employed own account worker, employer",20.4,20.4,20.4,20.4,1,,20.4,20.4,20.4,20.4,20.4
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Female,All self employed,0.5,0.5,0.5,0.5,1,,0.5,0.5,0.5,0.5,0.5
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Female,Casual labour,99.1,99.1,99.1,99.1,1,,99.1,99.1,99.1,99.1,99.1
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Female,Regular wage/salary,0.5,0.5,0.5,0.5,1,,0.5,0.5,0.5,0.5,0.5
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Female,Self-Employed helper in hoursehold enterprise,0.2,0.2,0.2,0.2,1,,0.2,0.2,0.2,0.2,0.2
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Female,"Self-Employed own account worker, employer",0.2,0.2,0.2,0.2,1,,0.2,0.2,0.2,0.2,0.2
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Male,All self employed,9.7,9.7,9.7,9.7,1,,9.7,9.7,9.7,9.7,9.7
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Male,Casual labour,86.6,86.6,86.6,86.6,1,,86.6,86.6,86.6,86.6,86.6
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Male,Regular wage/salary,3.7,3.7,3.7,3.7,1,,3.7,3.7,3.7,3.7,3.7
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Male,Self-Employed helper in hoursehold enterprise,0.3,0.3,0.3,0.3,1,,0.3,0.3,0.3,0.3,0.3
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Male,"Self-Employed own account worker, employer",9.4,9.4,9.4,9.4,1,,9.4,9.4,9.4,9.4,9.4
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Persons,All self employed,8.6,8.6,8.6,8.6,1,,8.6,8.6,8.6,8.6,8.6
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Persons,Casual labour,88.1,88.1,88.1,88.1,1,,88.1,88.1,88.1,88.1,88.1
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Persons,Regular wage/salary,3.3,3.3,3.3,3.3,1,,3.3,3.3,3.3,3.3,3.3
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Persons,Self-Employed helper in hoursehold enterprise,0.3,0.3,0.3,0.3,1,,0.3,0.3,0.3,0.3,0.3
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural,Persons,"Self-Employed own account worker, employer",8.3,8.3,8.3,8.3,1,,8.3,8.3,8.3,8.3,8.3
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Female,All self employed,0.6,0.6,0.6,0.6,1,,0.6,0.6,0.6,0.6,0.6
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Female,Casual labour,97.4,97.4,97.4,97.4,1,,97.4,97.4,97.4,97.4,97.4
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Female,Regular wage/salary,2.0,2.0,2.0,2.0,1,,2.0,2.0,2.0,2.0,2.0
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,0.4,0.4,0.4,0.4,1,,0.4,0.4,0.4,0.4,0.4
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Female,"Self-Employed own account worker, employer",0.2,0.2,0.2,0.2,1,,0.2,0.2,0.2,0.2,0.2
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Male,All self employed,12.1,12.1,12.1,12.1,1,,12.1,12.1,12.1,12.1,12.1
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Male,Casual labour,82.0,82.0,82.0,82.0,1,,82.0,82.0,82.0,82.0,82.0
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Male,Regular wage/salary,5.9,5.9,5.9,5.9,1,,5.9,5.9,5.9,5.9,5.9
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,0.5,0.5,0.5,0.5,1,,0.5,0.5,0.5,0.5,0.5
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Male,"Self-Employed own account worker, employer",11.6,11.6,11.6,11.6,1,,11.6,11.6,11.6,11.6,11.6
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Persons,All self employed,10.8,10.8,10.8,10.8,1,,10.8,10.8,10.8,10.8,10.8
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Persons,Casual labour,83.7,83.7,83.7,83.7,1,,83.7,83.7,83.7,83.7,83.7
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Persons,Regular wage/salary,5.5,5.5,5.5,5.5,1,,5.5,5.5,5.5,5.5,5.5
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,0.5,0.5,0.5,0.5,1,,0.5,0.5,0.5,0.5,0.5
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Rural+Urban,Persons,"Self-Employed own account worker, employer",10.4,10.4,10.4,10.4,1,,10.4,10.4,10.4,10.4,10.4
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Female,All self employed,1.4,1.4,1.4,1.4,1,,1.4,1.4,1.4,1.4,1.4
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Female,Casual labour,89.6,89.6,89.6,89.6,1,,89.6,89.6,89.6,89.6,89.6
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Female,Regular wage/salary,9.0,9.0,9.0,9.0,1,,9.0,9.0,9.0,9.0,9.0
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Female,Self-Employed helper in hoursehold enterprise,1.1,1.1,1.1,1.1,1,,1.1,1.1,1.1,1.1,1.1
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Female,"Self-Employed own account worker, employer",0.3,0.3,0.3,0.3,1,,0.3,0.3,0.3,0.3,0.3
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Male,All self employed,19.4,19.4,19.4,19.4,1,,19.4,19.4,19.4,19.4,19.4
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Male,Casual labour,68.0,68.0,68.0,68.0,1,,68.0,68.0,68.0,68.0,68.0
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Male,Regular wage/salary,12.7,12.7,12.7,12.7,1,,12.7,12.7,12.7,12.7,12.7
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Male,Self-Employed helper in hoursehold enterprise,1.2,1.2,1.2,1.2,1,,1.2,1.2,1.2,1.2,1.2
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Male,"Self-Employed own account worker, employer",18.2,18.2,18.2,18.2,1,,18.2,18.2,18.2,18.2,18.2
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Persons,All self employed,17.8,17.8,17.8,17.8,1,,17.8,17.8,17.8,17.8,17.8
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Persons,Casual labour,69.8,69.8,69.8,69.8,1,,69.8,69.8,69.8,69.8,69.8
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Persons,Regular wage/salary,12.4,12.4,12.4,12.4,1,,12.4,12.4,12.4,12.4,12.4
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Persons,Self-Employed helper in hoursehold enterprise,1.2,1.2,1.2,1.2,1,,1.2,1.2,1.2,1.2,1.2
India,"Agriculture Year (Jul - Jun), 2018",41-43 (construction),Urban,Persons,"Self-Employed own account worker, employer",16.7,16.7,16.7,16.7,1,,16.7,16.7,16.7,16.7,16.7
India,"Agriculture Year (Jul - Jun), 2018",45-47 (trade),Rural,Female,All self employed,85.0,85.0,85.0,85.0,1,,85.0,85.0,85.0,85.0,85.0
